learning_rate,max_depth,n_estimators,score
0.001,1.0,1.0,0.6221014492753623
0.001,1.0,11.0,0.6221014492753623
0.001,1.0,21.0,0.6221014492753623
0.001,1.0,31.0,0.6221014492753623
0.001,1.0,41.0,0.613768115942029
0.001,1.0,51.0,0.613768115942029
0.001,1.0,61.0,0.613768115942029
0.001,1.0,71.0,0.613768115942029
0.001,1.0,81.0,0.613768115942029
0.001,1.0,91.0,0.613768115942029
0.001,1.0,101.0,0.613768115942029
0.001,1.0,111.0,0.613768115942029
0.001,1.0,121.0,0.613768115942029
0.001,1.0,131.0,0.613768115942029
0.001,1.0,141.0,0.613768115942029
0.001,1.0,151.0,0.613768115942029
0.001,1.0,161.0,0.6387681159420289
0.001,1.0,171.0,0.6387681159420289
0.001,1.0,181.0,0.6387681159420289
0.001,1.0,191.0,0.6387681159420289
0.001,1.0,201.0,0.6387681159420289
0.001,1.0,211.0,0.6387681159420289
0.001,1.0,221.0,0.6387681159420289
0.001,1.0,231.0,0.6387681159420289
0.001,1.0,241.0,0.6304347826086957
0.001,1.0,251.0,0.6304347826086957
0.001,1.0,261.0,0.6304347826086957
0.001,1.0,271.0,0.6304347826086957
0.001,1.0,281.0,0.6304347826086957
0.001,1.0,291.0,0.6221014492753623
0.001,1.0,301.0,0.6221014492753623
0.001,1.0,311.0,0.6221014492753623
0.001,1.0,321.0,0.6221014492753623
0.001,1.0,331.0,0.6221014492753623
0.001,1.0,341.0,0.6221014492753623
0.001,1.0,351.0,0.6221014492753623
0.001,1.0,361.0,0.6221014492753623
0.001,1.0,371.0,0.6221014492753623
0.001,1.0,381.0,0.6221014492753623
0.001,1.0,391.0,0.6221014492753623
0.001,1.0,401.0,0.6221014492753623
0.001,1.0,411.0,0.6221014492753623
0.001,1.0,421.0,0.6221014492753623
0.001,1.0,431.0,0.6221014492753623
0.001,1.0,441.0,0.6221014492753623
0.001,1.0,451.0,0.6221014492753623
0.001,1.0,461.0,0.6221014492753623
0.001,1.0,471.0,0.6221014492753623
0.001,1.0,481.0,0.6221014492753623
0.001,1.0,491.0,0.6221014492753623
0.001,1.0,501.0,0.6221014492753623
0.001,1.0,511.0,0.6221014492753623
0.001,1.0,521.0,0.6221014492753623
0.001,1.0,531.0,0.6221014492753623
0.001,1.0,541.0,0.6221014492753623
0.001,1.0,551.0,0.6221014492753623
0.001,1.0,561.0,0.6304347826086957
0.001,1.0,571.0,0.6304347826086957
0.001,1.0,581.0,0.6304347826086957
0.001,1.0,591.0,0.6304347826086957
0.001,1.0,601.0,0.6304347826086957
0.001,1.0,611.0,0.6304347826086957
0.001,1.0,621.0,0.6304347826086957
0.001,1.0,631.0,0.6304347826086957
0.001,1.0,641.0,0.6304347826086957
0.001,1.0,651.0,0.6304347826086957
0.001,1.0,661.0,0.6304347826086957
0.001,1.0,671.0,0.6304347826086957
0.001,1.0,681.0,0.6304347826086957
0.001,1.0,691.0,0.6304347826086957
0.001,1.0,701.0,0.6304347826086957
0.001,1.0,711.0,0.6304347826086957
0.001,1.0,721.0,0.6304347826086957
0.001,1.0,731.0,0.6304347826086957
0.001,1.0,741.0,0.6304347826086957
0.001,1.0,751.0,0.6304347826086957
0.001,1.0,761.0,0.6304347826086957
0.001,1.0,771.0,0.6304347826086957
0.001,1.0,781.0,0.6304347826086957
0.001,1.0,791.0,0.6304347826086957
0.001,1.0,801.0,0.6304347826086957
0.001,1.0,811.0,0.6304347826086957
0.001,1.0,821.0,0.6304347826086957
0.001,1.0,831.0,0.6304347826086957
0.001,1.0,841.0,0.6304347826086957
0.001,1.0,851.0,0.6304347826086957
0.001,1.0,861.0,0.6304347826086957
0.001,1.0,871.0,0.6304347826086957
0.001,1.0,881.0,0.6304347826086957
0.001,1.0,891.0,0.6304347826086957
0.001,1.0,901.0,0.6304347826086957
0.001,1.0,911.0,0.6304347826086957
0.001,1.0,921.0,0.6304347826086957
0.001,1.0,931.0,0.6304347826086957
0.001,1.0,941.0,0.6304347826086957
0.001,1.0,951.0,0.6304347826086957
0.001,1.0,961.0,0.6304347826086957
0.001,1.0,971.0,0.6304347826086957
0.001,1.0,981.0,0.6304347826086957
0.001,1.0,991.0,0.6304347826086957
0.001,2.0,1.0,0.6057971014492753
0.001,2.0,11.0,0.6057971014492753
0.001,2.0,21.0,0.622463768115942
0.001,2.0,31.0,0.622463768115942
0.001,2.0,41.0,0.622463768115942
0.001,2.0,51.0,0.622463768115942
0.001,2.0,61.0,0.622463768115942
0.001,2.0,71.0,0.622463768115942
0.001,2.0,81.0,0.622463768115942
0.001,2.0,91.0,0.622463768115942
0.001,2.0,101.0,0.622463768115942
0.001,2.0,111.0,0.622463768115942
0.001,2.0,121.0,0.622463768115942
0.001,2.0,131.0,0.6307971014492754
0.001,2.0,141.0,0.6307971014492754
0.001,2.0,151.0,0.6391304347826087
0.001,2.0,161.0,0.6391304347826087
0.001,2.0,171.0,0.6391304347826087
0.001,2.0,181.0,0.6391304347826087
0.001,2.0,191.0,0.6391304347826087
0.001,2.0,201.0,0.6391304347826087
0.001,2.0,211.0,0.6307971014492754
0.001,2.0,221.0,0.6307971014492754
0.001,2.0,231.0,0.6307971014492754
0.001,2.0,241.0,0.6307971014492754
0.001,2.0,251.0,0.6307971014492754
0.001,2.0,261.0,0.6307971014492754
0.001,2.0,271.0,0.6557971014492754
0.001,2.0,281.0,0.6557971014492754
0.001,2.0,291.0,0.6557971014492754
0.001,2.0,301.0,0.6557971014492754
0.001,2.0,311.0,0.6557971014492754
0.001,2.0,321.0,0.6557971014492754
0.001,2.0,331.0,0.6557971014492754
0.001,2.0,341.0,0.6557971014492754
0.001,2.0,351.0,0.6557971014492754
0.001,2.0,361.0,0.6557971014492754
0.001,2.0,371.0,0.6557971014492754
0.001,2.0,381.0,0.6641304347826087
0.001,2.0,391.0,0.6641304347826087
0.001,2.0,401.0,0.6641304347826087
0.001,2.0,411.0,0.6641304347826087
0.001,2.0,421.0,0.6641304347826087
0.001,2.0,431.0,0.6807971014492753
0.001,2.0,441.0,0.6894927536231883
0.001,2.0,451.0,0.6894927536231883
0.001,2.0,461.0,0.6894927536231883
0.001,2.0,471.0,0.6978260869565217
0.001,2.0,481.0,0.6978260869565217
0.001,2.0,491.0,0.6978260869565217
0.001,2.0,501.0,0.6978260869565217
0.001,2.0,511.0,0.6978260869565217
0.001,2.0,521.0,0.6978260869565217
0.001,2.0,531.0,0.6978260869565217
0.001,2.0,541.0,0.6978260869565217
0.001,2.0,551.0,0.6978260869565217
0.001,2.0,561.0,0.6978260869565217
0.001,2.0,571.0,0.6978260869565217
0.001,2.0,581.0,0.6978260869565217
0.001,2.0,591.0,0.6978260869565217
0.001,2.0,601.0,0.6978260869565217
0.001,2.0,611.0,0.6978260869565217
0.001,2.0,621.0,0.6978260869565217
0.001,2.0,631.0,0.6978260869565217
0.001,2.0,641.0,0.6978260869565217
0.001,2.0,651.0,0.6978260869565217
0.001,2.0,661.0,0.6978260869565217
0.001,2.0,671.0,0.6894927536231883
0.001,2.0,681.0,0.6894927536231883
0.001,2.0,691.0,0.6894927536231883
0.001,2.0,701.0,0.6894927536231883
0.001,2.0,711.0,0.6894927536231883
0.001,2.0,721.0,0.6894927536231883
0.001,2.0,731.0,0.6894927536231883
0.001,2.0,741.0,0.6894927536231883
0.001,2.0,751.0,0.6894927536231883
0.001,2.0,761.0,0.6894927536231883
0.001,2.0,771.0,0.6978260869565217
0.001,2.0,781.0,0.6978260869565217
0.001,2.0,791.0,0.6978260869565217
0.001,2.0,801.0,0.6978260869565217
0.001,2.0,811.0,0.6978260869565217
0.001,2.0,821.0,0.6978260869565217
0.001,2.0,831.0,0.6978260869565217
0.001,2.0,841.0,0.6978260869565217
0.001,2.0,851.0,0.6978260869565217
0.001,2.0,861.0,0.6978260869565217
0.001,2.0,871.0,0.6978260869565217
0.001,2.0,881.0,0.6978260869565217
0.001,2.0,891.0,0.6978260869565217
0.001,2.0,901.0,0.6978260869565217
0.001,2.0,911.0,0.6978260869565217
0.001,2.0,921.0,0.7061594202898551
0.001,2.0,931.0,0.7061594202898551
0.001,2.0,941.0,0.7061594202898551
0.001,2.0,951.0,0.7061594202898551
0.001,2.0,961.0,0.7061594202898551
0.001,2.0,971.0,0.7061594202898551
